lon,lat
11.09747,46.31103
11.09642,46.31103
11.09353,46.30951
11.09307,46.30748
11.09371,46.30724
11.09307,46.30696
11.09249,46.30504
11.09295,46.30492
11.09278,46.3038
11.09278,46.30296
11.09267,46.30208
11.09168,46.302
11.09134,46.30108
11.0892,46.30096
11.08896,46.30156
11.08896,46.30204
11.0881,46.30204
11.0881,46.30436
11.08862,46.305
11.08561,46.30752
11.08301,46.30863
11.08243,46.31059
11.08127,46.31251
11.082,46.31762
11.08093,46.31833
11.07989,46.31803
11.07833,46.3174
11.07788,46.31759
11.0764,46.318
11.0773,46.31912
11.07689,46.31957
11.07665,46.32064
11.08063,46.32092
11.08226,46.32494
11.08332,46.32533
11.08446,46.3255
11.08451,46.32536
11.08648,46.32574
11.08761,46.32578
11.08842,46.33035
11.08906,46.33103
11.09036,46.33111
11.09218,46.33069
11.09895,46.32993
11.09898,46.32866
11.09729,46.32512
11.09556,46.32436
11.09388,46.32356
11.09116,46.32141
11.09226,46.32081
11.09209,46.32005
11.09128,46.31829
11.09255,46.31797
11.09359,46.31877
11.09463,46.31837
11.09585,46.31833
11.09533,46.31717
11.09642,46.31705
11.09712,46.31685
11.0981,46.31653
11.09758,46.31597
11.09631,46.31593
11.09602,46.31514
11.09498,46.31466
11.09596,46.31446
11.09689,46.31438
11.09752,46.31294
11.09752,46.3109
11.09747,46.31103
