reading_id,sensor_id,timestamp,value
1794575,78,2023-07-15 00:01:16+00,103
1794581,9,2023-07-15 00:01:42+00,50
1794582,10,2023-07-15 00:02:03+00,73
1794576,79,2023-07-15 00:03:22+00,504
1794584,1,2023-07-15 00:04:41+00,100
1794580,84,2023-07-15 00:04:56+00,70
1794583,11,2023-07-15 00:07:09+00,53
1794592,87,2023-07-15 00:08:28+00,255
1794585,2,2023-07-15 00:08:36+00,356
1794574,77,2023-07-15 00:10:12+00,78
1794579,81,2023-07-15 00:11:43+00,411
1794587,4,2023-07-15 00:12:08+00,444
1794573,86,2023-07-15 00:14:39+00,55
1794588,5,2023-07-15 00:15:09+00,244
1794593,88,2023-07-15 00:15:15+00,249
1794578,60,2023-07-15 00:15:52+00,88
1794577,80,2023-07-15 00:15:55+00,53
1794589,6,2023-07-15 00:16:03+00,98
1795091,78,2023-07-15 00:18:06+00,103
1795115,10,2023-07-15 00:18:55+00,73
1795111,9,2023-07-15 00:19:01+00,50
1795095,79,2023-07-15 00:19:56+00,504
1795122,1,2023-07-15 00:20:05+00,100
1795107,84,2023-07-15 00:21:51+00,70
1795144,87,2023-07-15 00:23:31+00,252
1795118,11,2023-07-15 00:24:15+00,53
1795126,2,2023-07-15 00:24:29+00,356
1795087,77,2023-07-15 00:25:44+00,78
1795134,4,2023-07-15 00:27:48+00,444
1795103,81,2023-07-15 00:28:34+00,411
1795083,86,2023-07-15 00:30:17+00,55
1795147,88,2023-07-15 00:31:13+00,252
1795138,6,2023-07-15 00:32:41+00,98
1795100,60,2023-07-15 00:33:26+00,88
1795098,80,2023-07-15 00:34:04+00,53
1795090,78,2023-07-15 00:34:56+00,103
1795121,1,2023-07-15 00:35:30+00,100
1795114,10,2023-07-15 00:35:48+00,73
1795110,9,2023-07-15 00:36:20+00,50
1795094,79,2023-07-15 00:36:30+00,504
1795143,87,2023-07-15 00:38:33+00,252
1795106,84,2023-07-15 00:38:46+00,70
1795125,2,2023-07-15 00:40:22+00,358
1795086,77,2023-07-15 00:41:16+00,78
1795133,4,2023-07-15 00:43:27+00,444
1795102,81,2023-07-15 00:45:24+00,411
1795082,86,2023-07-15 00:45:54+00,55
1795146,88,2023-07-15 00:47:10+00,252
1795135,5,2023-07-15 00:47:14+00,242
1795137,6,2023-07-15 00:49:20+00,98
1795120,1,2023-07-15 00:50:54+00,100
1795089,78,2023-07-15 00:51:45+00,106
1795097,80,2023-07-15 00:52:13+00,53
1795113,10,2023-07-15 00:52:40+00,73
1795093,79,2023-07-15 00:53:04+00,504
1795142,87,2023-07-15 00:53:36+00,252
1795109,9,2023-07-15 00:53:39+00,50
1795105,84,2023-07-15 00:55:41+00,70
1795124,2,2023-07-15 00:56:15+00,358
1795085,77,2023-07-15 00:56:48+00,78
1795117,11,2023-07-15 00:58:28+00,53
1795132,4,2023-07-15 00:59:07+00,446
1795081,86,2023-07-15 01:01:31+00,55
1795101,81,2023-07-15 01:02:15+00,411
1795145,88,2023-07-15 01:03:08+00,252
1795136,6,2023-07-15 01:05:59+00,98
1795119,1,2023-07-15 01:06:18+00,100
1795099,60,2023-07-15 01:08:33+00,88
1795088,78,2023-07-15 01:08:35+00,103
1795141,87,2023-07-15 01:08:38+00,252
1795112,10,2023-07-15 01:09:33+00,73
1795092,79,2023-07-15 01:09:38+00,504
1795096,80,2023-07-15 01:10:22+00,53
1795108,9,2023-07-15 01:10:57+00,50
1795123,2,2023-07-15 01:12:08+00,361
1795084,77,2023-07-15 01:12:20+00,78
1795104,84,2023-07-15 01:12:36+00,70
1795131,4,2023-07-15 01:14:46+00,446
1795116,11,2023-07-15 01:15:34+00,53
1795080,86,2023-07-15 01:17:08+00,55
1795647,81,2023-07-15 01:19:06+00,411
1795692,88,2023-07-15 01:19:06+00,255
1795663,1,2023-07-15 01:21:42+00,100
1795680,6,2023-07-15 01:22:37+00,98
1795688,87,2023-07-15 01:23:40+00,249
1795635,78,2023-07-15 01:25:25+00,106
1795639,79,2023-07-15 01:26:11+00,504
1795657,10,2023-07-15 01:26:25+00,73
1795631,77,2023-07-15 01:27:52+00,68
1795667,2,2023-07-15 01:28:01+00,363
1795653,9,2023-07-15 01:28:16+00,50
1795642,80,2023-07-15 01:28:31+00,53
1795650,84,2023-07-15 01:29:30+00,68
1795675,4,2023-07-15 01:30:26+00,449
1795660,11,2023-07-15 01:32:40+00,55
1795627,86,2023-07-15 01:32:45+00,55
1795691,88,2023-07-15 01:35:03+00,255
1795676,5,2023-07-15 01:35:22+00,239
1795646,81,2023-07-15 01:35:56+00,411
1795687,87,2023-07-15 01:38:43+00,249
1795679,6,2023-07-15 01:39:16+00,98
1795634,78,2023-07-15 01:42:15+00,106
1795638,79,2023-07-15 01:42:45+00,504
1795656,10,2023-07-15 01:43:18+00,73
1795630,77,2023-07-15 01:43:24+00,45
1795666,2,2023-07-15 01:43:54+00,363
1795652,9,2023-07-15 01:45:35+00,50
1795674,4,2023-07-15 01:46:05+00,449
1795649,84,2023-07-15 01:46:25+00,68
1795641,80,2023-07-15 01:46:40+00,53
1795626,86,2023-07-15 01:48:22+00,55
1795659,11,2023-07-15 01:49:46+00,53
1795690,88,2023-07-15 01:51:00+00,255
1795662,1,2023-07-15 01:52:30+00,103
1795645,81,2023-07-15 01:52:47+00,411
1795686,87,2023-07-15 01:53:45+00,249
1795678,6,2023-07-15 01:55:54+00,100
